0.1 4
0.1 4
0.1 4
0.1 4
60.1 128
120.1 199
180.1 204
240.1 299
300.1 304
360.1 289
420.1 265
480.1 251
540.1 387
600.1 423
660.1 408
720.1 351
780.1 321
840.1 307
900.1 301
960.1 280
1020.1 274
1080.1 258
1140.1 258
1200.1 220
1260.1 344
1320.1 356
1380.1 331
1440.1 301
1500.1 278
1560.1 273
1620.1 258
1680.1 239
1740.1 359
1800.1 373
1860.1 336
1920.1 306
1980.1 295
2040.1 266
2100.1 362
2160.1 323
2220.1 264
2280.1 400
2340.1 431
2400.1 380
2460.1 323
2520.1 272
2580.1 392
2640.1 431
2700.1 407
2760.1 346
2820.1 284
2880.1 420
2940.1 445
3000.1 415
3060.1 360
3120.1 312
3180.1 274
3240.1 406
3300.1 411
3360.1 337
3420.1 301
3480.1 279
3540.1 273
3600.1 272
3660.1 268
3720.1 243
3780.1 387
3840.1 424
3900.1 384
3960.1 330
4020.1 289
4080.1 249
4140.1 353
4200.1 352
4260.1 304
4320.1 268
4380.1 388
4440.1 395
4500.1 364
4560.1 331
4620.1 280
4680.1 384
4740.1 390
4800.1 329
4860.1 307
4920.1 283
4980.1 303
5040.1 292
5100.1 264
5160.1 384
5220.1 406
5280.1 355
5340.1 282
5400.1 398
5460.1 443
5520.1 416
5580.1 386
5640.1 310
5700.1 458
5760.1 514
5820.1 486
5880.1 395
5940.1 327
6000.1 268
6060.1 400
6120.1 423
6180.1 390
6240.1 325
6300.1 303
6360.1 278
6420.1 265
6480.1 251
6540.1 359
6600.1 350
6660.1 292
6720.1 408
6780.1 426
6840.1 390
6900.1 354
6960.1 295
7020.1 399
7080.1 385
7140.1 335
